id,date,team1,team2,toss_winner,decision,first_score,first_wkts,second_score,second_wkts,winner,player_of_the_match,most_runs,most_wkts
1,"March 22,2024",Banglore,Chennai,Banglore,Bat,173,6,176,4,Chennai,Mustafizur Rahman,Anuj Rawat,Mustafizur Rahman
2,"March 23,2024",Delhi,Punjab,Punjab,Field,174,9,177,6,Punjab,Sam Curran,Sam Curran,Kuldeep Yadav
3,"March 23,2024",Kolkata,Hyderabad,Hyderabad,Field,208,7,204,7,Kolkata,Andre Russell,Andre Russell,T Natarajan
4,"March 24,2024",Rajasthan,Lucknow,Rajasthan,Bat,193,4,173,6,Rajasthan,Sanju Samson,Sanju Samson,Trent Boult
5,"March 24,2024",Gujarat,Mumbai,Mumbai,Field,168,6,162,9,Gujarat,Sai Sudharsan,Dewald Brevis,Jasprit Bumrah
6,"March 25,2024",Punjab,Banglore,Banglore,Field,176,6,178,6,Banglore,Virat Kohli,Virat Kohli,Harpreet Brar
7,"March 26,2024",Chennai,Gujarat,Gujarat,Field,206,6,143,8,Chennai,Shivam Dube,Shivam Dube,Tushar Deshpande
8,"March 27,2024",Hyderabad,Mumbai,Mumbai,Field,277,3,246,5,Hyderabad,Abhishek Sharma,Heinrich Klaasen,Pat Cummins
9,"March 28,2024",Rajasthan,Delhi,Delhi,Field,185,5,173,5,Rajasthan,Riyan Parag,Riyan Parag,Yuzvendra Chahal
10,"March 29,2024",Banglore,Kolkata,Kolkata,Field,182,6,186,3,Kolkata,Sunil Narine,Virat Kohli ,Andre Russell
11,"March 30,2024",Lucknow,Punjab,Lucknow,Bat,199,8,178,5,Lucknow,Mayank Yadav,Shikhar Dhawan,Mayank Yadav
12,"March 31,2024",Hyderabad,Gujarat,Hyderabad,Bat,162,8,168,3,Gujarat,Mohit Sharma,Sai Sudharsan,Mohit Sharma
13,"March 31,2024",Delhi,Chennai,Delhi,Bat,191,5,171,6,Delhi,Khaleel Ahmed,Jos Buttler,Mukesh Kumar
14,"April 1,2024",Mumbai,Rajasthan,Rajasthan,Field,125,9,127,4,Rajasthan,Trent Boult,Riyan Parag ,Yuzvendra Chahal
15,"April 2,2024",Lucknow,Banglore,Banglore,Field,181,5,153,10,Lucknow,Mayank Yadav,Quinton de Kock,Mayank Yadav
16,"April 3,2024",Kolkata,Delhi,Kolkata,Bat,272,7,166,10,Kolkata,Sunil Narine,Sunil Narine,Vaibhav Arora
17,"April 4,2024",Gujarat,Punjab,Punjab,Field,199,4,200,7,Punjab,Shashank Singh,Shubman Gill,Noor Ahmad
18,"April 5,2024",Chennai,Hyderabad,Hyderabad,Field,165,5,166,4,Hyderabad,Abhishek Sharma,Aiden Markram,Moeen Ali
19,"April 6,2024",Banglore,Rajasthan,Rajasthan,Field,183,3,189,4,Rajasthan,Jos Buttler,Virat Kohli,Reece Topley
20,"April 7,2024",Mumbai,Delhi,Delhi,Field,234,5,205,8,Mumbai,Romario Shepherd,Tristan Stubbs ,Gerald Coetzee
21,"April 7,2024",Lucknow,Gujarat,Lucknow,Bat,163,5,130,10,Lucknow,Yash Thakur,Marcus Stoinis,Yash Thakur
22,"April 8,2024",Kolkata,Chennai,Chennai,Field,137,9,141,3,Chennai,Ravindra Jadeja,Ruturaj Gaikwad,Ravindra Jadeja
23,"April 9,2024",Hyderabad,Punjab,Punjab,Field,182,9,180,6,Hyderabad,Nitish Kumar Reddy,Nitish Kumar Reddy,Arshdeep Singh
24,"April 10,2024",Rajasthan,Gujarat,Gujarat,Field,196,3,199,7,Gujarat,Rashid Khan,Riyan Parag,Kuldeep Sen
25,"April 11,2024",Banglore,Mumbai,Mumbai,Field,196,8,199,3,Mumbai,Jasprit Bumrah,Ishan Kishan,Jasprit Bumrah
26,"April 12,2024",Lucknow,Delhi,Lucknow,Bat,167,7,170,4,Delhi,Kuldeep Yadav,Ayush Badoni,Kuldeep Yadav
27,"April 13,2024",Punjab,Rajasthan,Rajasthan,Field,147,8,152,7,Rajasthan,Shimron Hetmyer,Yashasvi Jaiswal ,Kagiso Rabada
28,"April 14,2024",Lucknow,Kolkata,Kolkata,Field,161,7,162,2,Kolkata,Phil Salt,Phil Salt,Mitchell Starc
29,"April 14,2024",Chennai,Mumbai,Mumbai,Field,206,4,186,6,Chennai,Matheesha Pathirana,Rohit Sharma,Matheesha Pathirana
