RestaurantID,MenuCategory,MenuItem,Ingredients,Price,Profitability
R003,Beverages,Soda,['confidential'],2.55,Low
R001,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",11.12,Medium
R003,Desserts,New York Cheesecake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",18.66,High
R003,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",29.55,High
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",17.73,Medium
R001,Appetizers,Stuffed Mushrooms,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.28,High
R001,Beverages,Soda,['confidential'],2.87,Low
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",10.47,Medium
R003,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",26.78,High
R003,Beverages,Lemonade,['confidential'],4.95,Medium
R001,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",16.08,High
R001,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",8.09,Medium
R001,Beverages,Iced Tea,['confidential'],4.43,Medium
R001,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",18.46,Medium
R003,Beverages,Lemonade,['confidential'],3.83,Medium
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",13.91,Medium
R002,Beverages,Coffee,['confidential'],2.94,Low
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",23.52,High
R001,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",17.75,High
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",28.9,High
R003,Beverages,Lemonade,['confidential'],2.27,Low
R003,Beverages,Soda,['confidential'],4.88,Medium
R001,Beverages,Soda,['confidential'],2.81,Low
R001,Beverages,Iced Tea,['confidential'],4.9,Low
R001,Appetizers,Bruschetta,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",13.62,High
R001,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",10.96,Medium
R001,Beverages,Coffee,['confidential'],2.02,Low
R003,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",17.11,High
R003,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",8.52,Medium
R003,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",28.72,Medium
R001,Beverages,Coffee,['confidential'],2.99,High
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",13.25,Medium
R003,Beverages,Coffee,['confidential'],2.82,Low
R003,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",8.84,High
R002,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",17.22,High
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",14.94,Medium
R001,Desserts,New York Cheesecake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",11.11,Medium
R001,Desserts,New York Cheesecake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",18.96,High
R001,Beverages,Soda,['confidential'],3.53,Medium
R002,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.23,High
R003,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",12.29,Medium
R003,Desserts,New York Cheesecake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",11.61,High
R002,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",19.43,Medium
R001,Main Course,Vegetable Stir-Fry,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",27.06,High
R002,Main Course,Shrimp Scampi,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",19.87,Medium
R003,Beverages,Soda,['confidential'],2.95,Low
R001,Appetizers,Bruschetta,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.53,High
R001,Beverages,Soda,['confidential'],4.58,Medium
R003,Main Course,Vegetable Stir-Fry,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",23.01,High
R002,Appetizers,Bruschetta,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",8.84,Medium
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",12.19,Low
R001,Beverages,Soda,['confidential'],2.19,Low
R002,Beverages,Coffee,['confidential'],2.76,Low
R002,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",11.48,Medium
R001,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",19.77,High
R002,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",13.45,Medium
R001,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",11.45,Medium
R002,Beverages,Iced Tea,['confidential'],2.73,Low
R003,Desserts,Fruit Tart,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",12.38,Medium
R003,Main Course,Vegetable Stir-Fry,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",22.05,Medium
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",23.04,High
R001,Appetizers,Stuffed Mushrooms,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",11.56,Medium
R001,Desserts,Fruit Tart,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",13.26,Medium
R003,Main Course,Shrimp Scampi,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",27.14,High
R003,Beverages,Soda,['confidential'],4.07,Medium
R003,Main Course,Vegetable Stir-Fry,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",17.06,Medium
R001,Appetizers,Caprese Salad,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",14.47,Low
R002,Main Course,Shrimp Scampi,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",18.43,Medium
R002,Beverages,Soda,['confidential'],3.55,Medium
R001,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",16.4,Low
R001,Appetizers,Stuffed Mushrooms,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.43,High
R001,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.9,High
R003,Beverages,Coffee,['confidential'],3.21,Medium
R001,Beverages,Coffee,['confidential'],2.25,Low
R002,Beverages,Coffee,['confidential'],3.74,High
R002,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",14.82,High
R002,Beverages,Iced Tea,['confidential'],3.65,Medium
R002,Desserts,Fruit Tart,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",19.94,High
R001,Beverages,Soda,['confidential'],3.48,Medium
R003,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",13.08,Medium
R003,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",12.65,Medium
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",29.68,High
R003,Main Course,Vegetable Stir-Fry,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",24.47,High
R002,Appetizers,Caprese Salad,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.52,High
R003,Beverages,Soda,['confidential'],2.59,Low
R001,Beverages,Lemonade,['confidential'],3.72,Medium
R001,Beverages,Soda,['confidential'],4.98,Medium
R002,Appetizers,Caprese Salad,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",14.4,High
R003,Beverages,Soda,['confidential'],4.86,Medium
R001,Appetizers,Caprese Salad,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",14.77,High
R003,Beverages,Soda,['confidential'],2.23,Low
R001,Appetizers,Stuffed Mushrooms,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",13.96,High
R003,Beverages,Iced Tea,['confidential'],3.67,Medium
R003,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",28.95,High
R002,Beverages,Iced Tea,['confidential'],3.85,Medium
R002,Desserts,Tiramisu,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",12.54,Medium
R002,Main Course,Grilled Steak,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",26.11,High
R001,Appetizers,Spinach Artichoke Dip,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",12.96,High
R003,Appetizers,Caprese Salad,"['Tomatoes', 'Basil', 'Garlic', 'Olive Oil']",13.67,High
R003,Main Course,Chicken Alfredo,"['Chicken', 'Fettuccine', 'Alfredo Sauce', 'Parmesan']",24.17,High
R002,Desserts,Chocolate Lava Cake,"['Chocolate', 'Butter', 'Sugar', 'Eggs']",16.28,Low
R001,Beverages,Coffee,['confidential'],3.19,Medium
R002,Beverages,Lemonade,['confidential'],3.01,Medium
